municipio_distrito,fecha_informe,tasa_inc_acum_ult_14dias,tasa_inc_acum_total,casos_confirmados_totales
Lozoya,2020-11-24,172.117039586919,2753.8726333907102,16.0
Collado Villalba,2020-11-24,406.727492579971,5207.368206159021,3316.0
Colmenarejo,2020-11-24,230.010952902519,3417.3055859802803,312.0
Villavieja del Lozoya,2020-11-24,395.256916996047,4743.08300395257,12.0
Prádena del Rincón,2020-11-24,0.0,854.700854700855,
La Cabrera,2020-11-24,74.9906261717285,4799.40007499063,128.0
Sevilla la Nueva,2020-11-24,354.153251770766,4206.91135436789,392.0
La Acebeda,2020-11-24,0.0,0.0,
Redueña,2020-11-24,0.0,2307.6923076923104,6.0
Robledillo de la Jara,2020-11-24,0.0,11250.0,9.0
La Serna del Monte,2020-11-24,0.0,6172.83950617284,5.0
Colmenar de Oreja,2020-11-24,647.410358565737,4992.52988047809,401.0
Rozas de Puerto Real,2020-11-24,188.679245283019,3962.2641509434,21.0
Valdemanco,2020-11-24,0.0,2297.59299781182,21.0
Brunete,2020-11-24,251.490312965723,3576.7511177347205,384.0
Titulcia,2020-11-24,228.484386900229,2817.97410510282,37.0
Villa del Prado,2020-11-24,368.098159509202,7760.73619631902,506.0
Lozoyuela-Navas-Sieteiglesias,2020-11-24,153.964588144727,3464.20323325635,45.0
Quijorna,2020-11-24,494.32974701948194,4012.7944169816797,138.0
Valdemoro,2020-11-24,236.89509495545101,3562.6390113578004,2707.0
Tres Cantos,2020-11-24,228.406185826244,3271.0280373831797,1561.0
Torrelaguna,2020-11-24,210.084033613445,5567.2268907563,265.0
Rivas-Vaciamadrid,2020-11-24,211.003970504821,4012.47872943846,3537.0
El Atazar,2020-11-24,0.0,1123.59550561798,
Pedrezuela,2020-11-24,220.638153428377,3835.7094365240996,226.0
Santa María de la Alameda,2020-11-24,79.7448165869219,2711.32376395534,34.0
Horcajuelo de la Sierra,2020-11-24,0.0,1162.7906976744198,
Arroyomolinos,2020-11-24,245.25417250605202,3134.15721747993,984.0
Moralzarzal,2020-11-24,437.586365730078,4122.524182404421,537.0
Canencia,2020-11-24,0.0,5816.5548098434,26.0
Villarejo de Salvanés,2020-11-24,149.965916837082,5357.87321063395,393.0
Serranillos del Valle,2020-11-24,216.08643457383,4297.71908763505,179.0
Villaviciosa de Odón,2020-11-24,341.296928327645,3366.26549308425,937.0
Camarma de Esteruelas,2020-11-24,204.471101417666,2508.17884405671,184.0
Robledo de Chavela,2020-11-24,444.964871194379,3208.43091334895,137.0
Patones,2020-11-24,0.0,5175.60073937153,28.0
Navalagamella,2020-11-24,153.25670498084298,4406.13026819923,115.0
Rascafría,2020-11-24,300.480769230769,3305.28846153846,55.0
El Boalo,2020-11-24,386.254661694193,4621.736814065,347.0
Majadahonda,2020-11-24,275.666193300476,5161.08373012558,3707.0
Batres,2020-11-24,178.14726840855099,2494.06175771971,42.0
